"","site_code","op_code","date","day","month","year","bruv","subclass","family.x","genus.x","species.x","sp_code","common","max_n","MPA","site_full","geog","type"
"1","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",4,1,"Percos",3,"MPA"
"2","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Invertebrate","Cancridae","Cancer","","CANC","Crab",1,1,"Percos",3,"MPA"
"3","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,1,"Percos",3,"MPA"
"4","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","sordidus","CISO","Pacific sanddab",1,1,"Percos",3,"MPA"
"5","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",7,1,"Percos",3,"MPA"
"6","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Mammalia","Phocidae","Phoca","vitulina","PHVI","Harbor seal",1,1,"Percos",3,"MPA"
"7","PERC","PERC_23Jul19_bruv1",2019-07-23,23,7,2019,"1","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",1,1,"Percos",3,"MPA"
"8","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",2,1,"Percos",3,"MPA"
"9","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Invertebrate","Blepharipodidae","Blepharipoda","occidentalis","BLOC","Spiny sand crab",4,1,"Percos",3,"MPA"
"10","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Invertebrate","Cancridae","Cancer","","CANC","Crab",8,1,"Percos",3,"MPA"
"11","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Invertebrate","Nassariidae","Nassarius","","NASS","Nassa mud snail",4,1,"Percos",3,"MPA"
"12","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",6,1,"Percos",3,"MPA"
"13","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",1,1,"Percos",3,"MPA"
"14","PERC","PERC_23Jul19_bruv3",2019-07-23,23,7,2019,"3","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"Percos",3,"MPA"
"15","PERC","PERC_23Jul19_bruv6",2019-07-23,23,7,2019,"6","Invertebrate","Blepharipodidae","Blepharipoda","occidentalis","BLOC","Spiny sand crab",1,1,"Percos",3,"MPA"
"16","PERC","PERC_23Jul19_bruv6",2019-07-23,23,7,2019,"6","Invertebrate","Cancridae","Cancer","","CANC","Crab",4,1,"Percos",3,"MPA"
"17","PERC","PERC_23Jul19_bruv6",2019-07-23,23,7,2019,"6",NA,"Paralichthyidae","","",NA,NA,1,1,"Percos",3,"MPA"
"18","PERC","PERC_23Jul19_bruv6",2019-07-23,23,7,2019,"6","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",7,1,"Percos",3,"MPA"
"19","PERC","PERC_23Jul19_bruv6",2019-07-23,23,7,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"Percos",3,"MPA"
"20","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Invertebrate","Blepharipodidae","Blepharipoda","occidentalis","BLOC","Spiny sand crab",12,1,"Percos",3,"MPA"
"21","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1",NA,"Cancridae","Cancer","sp",NA,NA,4,1,"Percos",3,"MPA"
"22","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,1,"Percos",3,"MPA"
"23","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",3,1,"Percos",3,"MPA"
"24","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Actinopterygii","Paralichthyidae","Paralichthys","californicus","PACA","California halibut",1,1,"Percos",3,"MPA"
"25","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",2,1,"Percos",3,"MPA"
"26","PERC","PERC_04Sep19_bruv1",2019-09-04,4,9,2019,"1","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",1,1,"Percos",3,"MPA"
"27","PERC","PERC_04Sep19_bruv3",2019-09-04,4,9,2019,"3",NA,"Cancridae","Cancer","sp",NA,NA,2,1,"Percos",3,"MPA"
"28","PERC","PERC_04Sep19_bruv3",2019-09-04,4,9,2019,"3","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",2,1,"Percos",3,"MPA"
"29","PERC","PERC_04Sep19_bruv3",2019-09-04,4,9,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",3,1,"Percos",3,"MPA"
"30","PERC","PERC_04Sep19_bruv3",2019-09-04,4,9,2019,"3","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,1,"Percos",3,"MPA"
"31","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6",NA,"Embiotocidae","","",NA,NA,1,1,"Percos",3,"MPA"
"32","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",12,1,"Percos",3,"MPA"
"33","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6",NA,"Embiotocidae","Amphistichus","sp",NA,NA,4,1,"Percos",3,"MPA"
"34","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",2,1,"Percos",3,"MPA"
"35","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",2,1,"Percos",3,"MPA"
"36","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina",5,1,"Percos",3,"MPA"
"37","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",1,1,"Percos",3,"MPA"
"38","PERC","PERC_13Oct19_bruv1",2019-10-13,13,10,2019,"1","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",3,1,"Percos",3,"MPA"
