Dot Point Measurements

Generated: Thursday, June 11, 2020 17:28:33

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_16Sep19_6_GOPR0039.MP4	  42998	00:11:57.35	DUCO_16Sep19_bruv6_data	00:00:57.34	741	938	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GOPR0039.MP4	  48490	00:13:28.97	DUCO_16Sep19_bruv6_data	00:02:28.97	793	1367	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
PODU_16Sep19_6_GOPR0039.MP4	  59883	00:16:39.05	DUCO_16Sep19_bruv6_data	00:05:39.04	721	998	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GOPR0039.MP4	  59959	00:16:40.32	DUCO_16Sep19_bruv6_data	00:05:40.31	710	978	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	    654	00:17:52.97	DUCO_16Sep19_bruv6_data	00:06:52.96	577	230	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	    654	00:17:52.97	DUCO_16Sep19_bruv6_data	00:06:52.96	428	251	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	   1207	00:18:02.20	DUCO_16Sep19_bruv6_data	00:07:02.19	658	893	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	   8106	00:19:57.30	DUCO_16Sep19_bruv6_data	00:08:57.29	543	987	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  12043	00:21:02.98	DUCO_16Sep19_bruv6_data	00:10:02.97	403	413	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  12043	00:21:02.98	DUCO_16Sep19_bruv6_data	00:10:02.97	521	1063	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  12043	00:21:02.98	DUCO_16Sep19_bruv6_data	00:10:02.97	756	1117	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  12043	00:21:02.98	DUCO_16Sep19_bruv6_data	00:10:02.97	690	360	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  15230	00:21:56.15	DUCO_16Sep19_bruv6_data	00:10:56.14	704	770	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  16652	00:22:19.87	DUCO_16Sep19_bruv6_data	00:11:19.86	688	800	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  16652	00:22:19.87	DUCO_16Sep19_bruv6_data	00:11:19.86	709	190	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  16710	00:22:20.84	DUCO_16Sep19_bruv6_data	00:11:20.83	731	398	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  16710	00:22:20.84	DUCO_16Sep19_bruv6_data	00:11:20.83	798	112	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  16798	00:22:22.31	DUCO_16Sep19_bruv6_data	00:11:22.30	335	1494	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  17097	00:22:27.30	DUCO_16Sep19_bruv6_data	00:11:27.29	572	729	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  33585	00:27:02.37	DUCO_16Sep19_bruv6_data	00:16:02.36	451	280	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  34922	00:27:24.68	DUCO_16Sep19_bruv6_data	00:16:24.67	431	537	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  36121	00:27:44.68	DUCO_16Sep19_bruv6_data	00:16:44.67	472	324	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  37591	00:28:09.20	DUCO_16Sep19_bruv6_data	00:17:09.19	661	509	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  48360	00:31:08.87	DUCO_16Sep19_bruv6_data	00:20:08.86	397	358	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  48526	00:31:11.64	DUCO_16Sep19_bruv6_data	00:20:11.63	376	965	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  52199	00:32:12.91	DUCO_16Sep19_bruv6_data	00:21:12.90	619	1015	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_16Sep19_6_GP010039.MP4	  52199	00:32:12.91	DUCO_16Sep19_bruv6_data	00:21:12.90	333	1603	DUCO_16Sep19_bruv6	Jessica Madden			=1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
