Dot Point Measurements

Generated: Friday 04 December 2020 14:43:36

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_20Aug19_bruv3_GOPR0014.MP4	  45620	00:12:41.09	DUCO_20Aug19_bruv3_data	00:00:41.09	446	1787	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_20Aug19_bruv3_GP010014.MP4	   7748	00:19:51.32	DUCO_20Aug19_bruv3_data	00:07:51.32	466	1215	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Serranidae	Paralabrax	clathratus	44	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP010014.MP4	  56383	00:33:22.72	DUCO_20Aug19_bruv3_data	00:21:22.71	444	642	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Labridae	Semicossyphus	pulcher	46	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP010014.MP4	  58391	00:33:56.22	DUCO_20Aug19_bruv3_data	00:21:56.21	483	361	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background											1	AD	Passing	larval fish cloud?		
PODU_20Aug19_bruv3_GP020014.MP4	   2570	00:36:07.00	DUCO_20Aug19_bruv3_data	00:24:07.00	409	1570	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Triakidae	Triakis	semifasciata	30	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP020014.MP4	   2894	00:36:12.40	DUCO_20Aug19_bruv3_data	00:24:12.40	52	285	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Serranidae	Paralabrax	clathratus	44	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP020014.MP4	   2894	00:36:12.40	DUCO_20Aug19_bruv3_data	00:24:12.40	232	620	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Serranidae	Paralabrax	clathratus	44	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP020014.MP4	   6996	00:37:20.84	DUCO_20Aug19_bruv3_data	00:25:20.84	398	1578	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Triakidae	Triakis	semifasciata	30	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP020014.MP4	   8473	00:37:45.48	DUCO_20Aug19_bruv3_data	00:25:45.48	383	817	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Serranidae	Paralabrax	clathratus	44	1	AD	Passing	background		
PODU_20Aug19_bruv3_GP020014.MP4	   9985	00:38:10.71	DUCO_20Aug19_bruv3_data	00:26:10.70	545	1450	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_20Aug19_bruv3_GP020014.MP4	  10433	00:38:18.18	DUCO_20Aug19_bruv3_data	00:26:18.18	374	1024	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Labridae	Semicossyphus	pulcher	46	1	AD	Passing			
PODU_20Aug19_bruv3_GP020014.MP4	  12180	00:38:47.32	DUCO_20Aug19_bruv3_data	00:26:47.32	108	1627	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Kyphosidae	Kyphosus	azureus	18	32	AD	Passing			
PODU_20Aug19_bruv3_GP020014.MP4	  27619	00:43:04.90	DUCO_20Aug19_bruv3_data	00:31:04.90	505	276	DUCO_20Aug19_bruv3	Jessica Madden			>1m	100% S, rocks and seagrass in background							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
