Dot Point Measurements

Generated: Thursday, June 25, 2020 16:24:58

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat	Site	Bruv #	Date				Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_23Oct19_4_GOPR0154.MP4	  60446	00:16:48.44	DUCO_23Oct19_bruv4_data	00:05:48.43	818	775	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_23Oct19_4_GOPR0154.MP4	  62637	00:17:24.99	DUCO_23Oct19_bruv4_data	00:06:24.98	886	119	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	   1333	00:18:04.30	DUCO_23Oct19_bruv4_data	00:07:04.29	242	1668	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Kyphosidae	Medialuna	californiensis	61	1	AD	Passing		background	
PODU_23Oct19_4_GP010154.MP4	   1333	00:18:04.30	DUCO_23Oct19_bruv4_data	00:07:04.29	672	746	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	  16262	00:22:13.37	DUCO_23Oct19_bruv4_data	00:11:13.36	751	591	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	  25303	00:24:44.20	DUCO_23Oct19_bruv4_data	00:13:44.19	693	676	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	  25303	00:24:44.20	DUCO_23Oct19_bruv4_data	00:13:44.19	763	333	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing		background	
PODU_23Oct19_4_GP010154.MP4	  27161	00:25:15.20	DUCO_23Oct19_bruv4_data	00:14:15.19	529	1834	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	  35116	00:27:27.91	DUCO_23Oct19_bruv4_data	00:16:27.90	680	493	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_23Oct19_4_GP010154.MP4	  59600	00:34:16.39	DUCO_23Oct19_bruv4_data	00:23:16.38	642	375	DUCO_23Oct19_bruv4	Jessica Madden			>1m	100% S, phyllospadix bed in background	DUCO	4	10-23-2019				Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
