Dot Point Measurements

Generated: Friday 04 December 2020 15:13:27

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
HABE_19Jul19_3_GP010131.MP4	    354	00:17:47.97	HABE_19Jul19_bruv3_data	00:00:47.96	894	938	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	   9336	00:20:17.82	HABE_19Jul19_bruv3_data	00:03:17.81	890	795	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  17709	00:22:37.51	HABE_19Jul19_bruv3_data	00:05:37.50	1013	1361	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  35537	00:27:34.94	HABE_19Jul19_bruv3_data	00:10:34.93	1013	333	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  45871	00:30:27.34	HABE_19Jul19_bruv3_data	00:13:27.34	572	1356	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  49348	00:31:25.35	HABE_19Jul19_bruv3_data	00:14:25.35	1015	756	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  52345	00:32:15.35	HABE_19Jul19_bruv3_data	00:15:15.35	995	1325	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  52664	00:32:20.67	HABE_19Jul19_bruv3_data	00:15:20.67	945	1273	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP010131.MP4	  52664	00:32:20.67	HABE_19Jul19_bruv3_data	00:15:20.67	1027	1690	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
HABE_19Jul19_3_GP020131.MP4	  14781	00:39:30.72	HABE_19Jul19_bruv3_data	00:22:30.72	923	1586	HABE_19Jul19_bruv3	Jessica Madden			<1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
