Dot Point Measurements

Generated: Tuesday, March 24, 2020 12:01:47

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
LECA_19Aug19_bruv3_GOPR0012.MP4	  56767	00:15:47.06	LECA_19Aug19_bruv3_data	00:01:47.06	124	1246	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  40551	00:28:58.59	LECA_19Aug19_bruv3_data	00:14:58.58	158	897	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  42070	00:29:23.93	LECA_19Aug19_bruv3_data	00:15:23.92	406	129	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  42380	00:29:29.10	LECA_19Aug19_bruv3_data	00:15:29.09	391	369	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  42380	00:29:29.10	LECA_19Aug19_bruv3_data	00:15:29.09	345	242	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  44509	00:30:04.62	LECA_19Aug19_bruv3_data	00:16:04.61	86	104	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  44509	00:30:04.62	LECA_19Aug19_bruv3_data	00:16:04.61	519	1630	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  53163	00:32:29.00	LECA_19Aug19_bruv3_data	00:18:28.99	487	1319	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
LECA_19Aug19_bruv3_GP010012.MP4	  59084	00:34:07.78	LECA_19Aug19_bruv3_data	00:20:07.77	706	579	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
LECA_19Aug19_bruv3_GP020012.MP4	  10191	00:38:14.14	LECA_19Aug19_bruv3_data	00:24:14.14	641	1687	LECA_19Aug19_bruv3	Jessica Madden			=1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
