Dot Point Measurements

Generated: Wednesday 02 December 2020 11:17:07

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat	Site	Bruv #	Date				Family	Genus	Species	Code	Number	Stage	Activity	Comment		
LECA_9Oct19_6_GOPR0056.MP4	  46104	00:12:49.17	LECA_9Oct19_bruv6_data	00:00:49.17	576	281	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	   4718	00:19:00.77	LECA_9Oct19_bruv6_data	00:07:00.77	636	1662	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  10030	00:20:29.39	LECA_9Oct19_bruv6_data	00:08:29.39	469	1862	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Heterodontidae	Heterodontus	francisci	49	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  12267	00:21:06.72	LECA_9Oct19_bruv6_data	00:09:06.71	440	162	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  13481	00:21:26.97	LECA_9Oct19_bruv6_data	00:09:26.97	733	1615	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Heterodontidae	Heterodontus	francisci	49	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  15878	00:22:06.96	LECA_9Oct19_bruv6_data	00:10:06.96	568	127	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  16371	00:22:15.18	LECA_9Oct19_bruv6_data	00:10:15.18	600	1518	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  17062	00:22:26.71	LECA_9Oct19_bruv6_data	00:10:26.71	560	1120	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Heterodontidae	Heterodontus	francisci	49	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  20198	00:23:19.03	LECA_9Oct19_bruv6_data	00:11:19.03	316	161	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
LECA_9Oct19_6_GP010056.MP4	  20198	00:23:19.03	LECA_9Oct19_bruv6_data	00:11:19.03	356	596	LECA_09Oct19_bruv6	Jessica Madden			<1m	100% S	LECA	6	10-09-2019				Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
