Dot Point Measurements

Generated: Tuesday, June 16, 2020 10:56:19

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PERC_13Oct19_bruv1_GOPR0124.MP4	  40862	00:11:21.71	PERC_13Oct19_bruv1_data	00:00:21.71	769	1020	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  43177	00:12:00.34	PERC_13Oct19_bruv1_data	00:01:00.33	679	955	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  44479	00:12:22.06	PERC_13Oct19_bruv1_data	00:01:22.05	502	1631	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing	positive id		
PERC_13Oct19_bruv1_GOPR0124.MP4	  44479	00:12:22.06	PERC_13Oct19_bruv1_data	00:01:22.05	409	828	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  48556	00:13:30.08	PERC_13Oct19_bruv1_data	00:02:30.07	769	1201	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  48556	00:13:30.08	PERC_13Oct19_bruv1_data	00:02:30.07	795	1269	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  58812	00:16:21.18	PERC_13Oct19_bruv1_data	00:05:21.17	781	914	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  59577	00:16:33.94	PERC_13Oct19_bruv1_data	00:05:33.93	563	1154	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  59577	00:16:33.94	PERC_13Oct19_bruv1_data	00:05:33.93	472	723	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
PERC_13Oct19_bruv1_GOPR0124.MP4	  60542	00:16:50.04	PERC_13Oct19_bruv1_data	00:05:50.03	668	950	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	    708	00:17:53.87	PERC_13Oct19_bruv1_data	00:06:53.86	1049	827	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	   7712	00:19:50.72	PERC_13Oct19_bruv1_data	00:08:50.71	757	885	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	   7712	00:19:50.72	PERC_13Oct19_bruv1_data	00:08:50.71	918	1210	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  12642	00:21:12.97	PERC_13Oct19_bruv1_data	00:10:12.96	802	1001	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  12642	00:21:12.97	PERC_13Oct19_bruv1_data	00:10:12.96	697	1013	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  12642	00:21:12.97	PERC_13Oct19_bruv1_data	00:10:12.96	650	1029	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  13554	00:21:28.19	PERC_13Oct19_bruv1_data	00:10:28.18	795	979	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  13554	00:21:28.19	PERC_13Oct19_bruv1_data	00:10:28.18	805	1100	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22579	00:23:58.75	PERC_13Oct19_bruv1_data	00:12:58.74	715	1052	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22579	00:23:58.75	PERC_13Oct19_bruv1_data	00:12:58.74	767	1067	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22579	00:23:58.75	PERC_13Oct19_bruv1_data	00:12:58.74	680	1120	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22824	00:24:02.84	PERC_13Oct19_bruv1_data	00:13:02.83	653	1081	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22824	00:24:02.84	PERC_13Oct19_bruv1_data	00:13:02.83	700	1046	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22824	00:24:02.84	PERC_13Oct19_bruv1_data	00:13:02.83	745	1076	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22824	00:24:02.84	PERC_13Oct19_bruv1_data	00:13:02.83	843	1852	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	848	1904	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	653	1061	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	691	1045	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	745	1069	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	1051	1819	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  22889	00:24:03.93	PERC_13Oct19_bruv1_data	00:13:03.92	1003	1769	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  23548	00:24:14.92	PERC_13Oct19_bruv1_data	00:13:14.91	45	1602	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing		background	
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	686	1005	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	638	1025	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	570	1052	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	587	1106	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	685	1075	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	713	1068	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv1_GP010124.MP4	  37622	00:28:09.72	PERC_13Oct19_bruv1_data	00:17:09.71	742	1068	PERC_13Oct19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
