Dot Point Measurements

Generated: Wednesday 02 December 2020 13:14:25

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat	Site	Bruv #	Date				Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PERC_13Oct19_bruv3_GOPR0061.MP4	  43367	00:12:03.51	PERC_13Oct19_bruv3_data	00:00:03.50	517	774	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GOPR0061.MP4	  51962	00:14:26.90	PERC_13Oct19_bruv3_data	00:02:26.90	705	990	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing	id?		
PERC_13Oct19_bruv3_GOPR0061.MP4	  62871	00:17:28.90	PERC_13Oct19_bruv3_data	00:05:28.90	705	1015	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GOPR0061.MP4	  62871	00:17:28.90	PERC_13Oct19_bruv3_data	00:05:28.90	691	952	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GOPR0061.MP4	  62871	00:17:28.90	PERC_13Oct19_bruv3_data	00:05:28.90	715	1008	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	   2155	00:18:18.01	PERC_13Oct19_bruv3_data	00:06:18.01	738	1038	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  10402	00:20:35.60	PERC_13Oct19_bruv3_data	00:08:35.60	714	1450	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Embiotocidae	Amphistichus	argenteus	6	34	AD	Passing	juveniles		
PERC_13Oct19_bruv3_GP010061.MP4	  11047	00:20:46.36	PERC_13Oct19_bruv3_data	00:08:46.36	749	1634	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Embiotocidae	Amphistichus	argenteus	6	46	AD	Passing	juveniles		
PERC_13Oct19_bruv3_GP010061.MP4	  15764	00:22:05.06	PERC_13Oct19_bruv3_data	00:10:05.05	322	1028	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Embiotocidae	Amphistichus	argenteus	6	42	AD	Passing	juveniles		
PERC_13Oct19_bruv3_GP010061.MP4	  19826	00:23:12.82	PERC_13Oct19_bruv3_data	00:11:12.82	738	1061	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  36840	00:27:56.67	PERC_13Oct19_bruv3_data	00:15:56.67	434	886	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Embiotocidae	Amphistichus	argenteus	6	4	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  39741	00:28:45.07	PERC_13Oct19_bruv3_data	00:16:45.07	740	1274	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  42470	00:29:30.60	PERC_13Oct19_bruv3_data	00:17:30.60	720	1225	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  42470	00:29:30.60	PERC_13Oct19_bruv3_data	00:17:30.60	740	995	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  42951	00:29:38.63	PERC_13Oct19_bruv3_data	00:17:38.62	617	876	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  42951	00:29:38.63	PERC_13Oct19_bruv3_data	00:17:38.62	652	837	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Nassariidae	Nassarius	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  51911	00:32:08.11	PERC_13Oct19_bruv3_data	00:20:08.11	662	906	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Cancridae	Cancer	sp		1	AD	Passing			
PERC_13Oct19_bruv3_GP010061.MP4	  58341	00:33:55.38	PERC_13Oct19_bruv3_data	00:21:55.38	581	768	PERC_13Oct19_bruv3	Jessica Madden			>1m	100% S	PERC	3	10-13-2019				Cancridae	Cancer	sp		1	AD	Passing			
