Dot Point Measurements

Generated: Thursday, February 27, 2020 15:56:03

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PERC_23Jul19_1_GOPR0065.MP4	  50353	00:14:00.06	PERC_23Jul19_bruv1_data	00:00:00.00	121	587	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  50353	00:14:00.06	PERC_23Jul19_bruv1_data	00:00:00.00	1050	759	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  50353	00:14:00.06	PERC_23Jul19_bruv1_data	00:00:00.00	829	875	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  50353	00:14:00.06	PERC_23Jul19_bruv1_data	00:00:00.00	934	1269	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  56818	00:15:47.91	PERC_23Jul19_bruv1_data	00:01:47.86	768	852	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing		background	
PERC_23Jul19_1_GOPR0065.MP4	  56818	00:15:47.91	PERC_23Jul19_bruv1_data	00:01:47.86	806	900	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  56818	00:15:47.91	PERC_23Jul19_bruv1_data	00:01:47.86	843	859	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  56818	00:15:47.91	PERC_23Jul19_bruv1_data	00:01:47.86	854	1116	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  63177	00:17:34.00	PERC_23Jul19_bruv1_data	00:03:33.95	895	1312	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_1_GOPR0065.MP4	  63177	00:17:34.00	PERC_23Jul19_bruv1_data	00:03:33.95	818	1549	PERC_23Jul19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39	1	AD	Passing			
