Dot Point Measurements

Generated: Friday 04 December 2020 14:58:33

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PERC_23Jul19_3_GOPR0005.MP4	  43157	00:12:00.00	PERC_23Jul19_bruv3_data	00:00:00.00	944	1540	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  43157	00:12:00.00	PERC_23Jul19_bruv3_data	00:00:00.00	973	1575	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  43157	00:12:00.00	PERC_23Jul19_bruv3_data	00:00:00.00	715	1012	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Nassariidae	Nassarius		54	1	AD	Passing	ID?		
PERC_23Jul19_3_GOPR0005.MP4	  43157	00:12:00.00	PERC_23Jul19_bruv3_data	00:00:00.00	837	1048	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  44472	00:12:21.94	PERC_23Jul19_bruv3_data	00:00:21.94	837	1164	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  44472	00:12:21.94	PERC_23Jul19_bruv3_data	00:00:21.94	919	1528	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  44472	00:12:21.94	PERC_23Jul19_bruv3_data	00:00:21.94	803	974	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  46963	00:13:03.50	PERC_23Jul19_bruv3_data	00:01:03.50	871	1081	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  46963	00:13:03.50	PERC_23Jul19_bruv3_data	00:01:03.50	683	911	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Nassariidae	Nassarius		54	1	AD	Passing	ID?		
PERC_23Jul19_3_GOPR0005.MP4	  46963	00:13:03.50	PERC_23Jul19_bruv3_data	00:01:03.50	821	1091	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Nassariidae	Nassarius		54	1	AD	Passing	ID?		
PERC_23Jul19_3_GOPR0005.MP4	  51813	00:14:24.41	PERC_23Jul19_bruv3_data	00:02:24.41	689	1124	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  51813	00:14:24.41	PERC_23Jul19_bruv3_data	00:02:24.41	876	1429	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  51813	00:14:24.41	PERC_23Jul19_bruv3_data	00:02:24.41	896	1372	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  51813	00:14:24.41	PERC_23Jul19_bruv3_data	00:02:24.41	944	1534	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  51813	00:14:24.41	PERC_23Jul19_bruv3_data	00:02:24.41	974	1559	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  54337	00:15:06.52	PERC_23Jul19_bruv3_data	00:03:06.52	809	977	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  54337	00:15:06.52	PERC_23Jul19_bruv3_data	00:03:06.52	805	1194	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  54822	00:15:14.61	PERC_23Jul19_bruv3_data	00:03:14.61	829	962	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  54822	00:15:14.61	PERC_23Jul19_bruv3_data	00:03:14.61	821	1076	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
PERC_23Jul19_3_GOPR0005.MP4	  54822	00:15:14.61	PERC_23Jul19_bruv3_data	00:03:14.61	804	1142	PERC_23Jul19_bruv3	Jessica Madden			>1m	100% S							Cancridae	Cancer		33	1	AD	Passing			
