Dot Point Measurements

Generated: Wednesday 02 December 2020 11:19:38

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PERC_4Sep19_bruv1_GOPR0083.MP4	  43431	00:12:04.57	PERC_4Sep19_bruv1_data	00:00:04.57	670	1249	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  54666	00:15:12.01	PERC_4Sep19_bruv1_data	00:03:12.01	585	1126	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		3	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  56256	00:15:38.54	PERC_4Sep19_bruv1_data	00:03:38.53	690	569	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  56256	00:15:38.54	PERC_4Sep19_bruv1_data	00:03:38.53	710	604	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  56256	00:15:38.54	PERC_4Sep19_bruv1_data	00:03:38.53	834	1899	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  58294	00:16:12.54	PERC_4Sep19_bruv1_data	00:04:12.54	153	1800	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PERC_4Sep19_bruv1_GOPR0083.MP4	  62215	00:17:17.95	PERC_4Sep19_bruv1_data	00:05:17.95	613	1031	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		2	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   2308	00:18:20.57	PERC_4Sep19_bruv1_data	00:06:20.56	727	1524	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   6281	00:19:26.85	PERC_4Sep19_bruv1_data	00:07:26.85	651	1134	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   6281	00:19:26.85	PERC_4Sep19_bruv1_data	00:07:26.85	831	1773	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   8102	00:19:57.23	PERC_4Sep19_bruv1_data	00:07:57.23	924	1298	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   8102	00:19:57.23	PERC_4Sep19_bruv1_data	00:07:57.23	724	200	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   8477	00:20:03.49	PERC_4Sep19_bruv1_data	00:08:03.48	658	925	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   8477	00:20:03.49	PERC_4Sep19_bruv1_data	00:08:03.48	684	1109	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		3	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	   9401	00:20:18.90	PERC_4Sep19_bruv1_data	00:08:18.90	917	1251	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	4	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	  16153	00:22:11.55	PERC_4Sep19_bruv1_data	00:10:11.54	950	1308	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Blepharipodidae	Blepharipoda	occidentalis	32	6	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	  16153	00:22:11.55	PERC_4Sep19_bruv1_data	00:10:11.54	640	907	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Cancridae	Cancer	sp		2	AD	Passing			
PERC_4Sep19_bruv1_GP010083.MP4	  17017	00:22:25.96	PERC_4Sep19_bruv1_data	00:10:25.96	640	1124	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing		background	
PERC_4Sep19_bruv1_GP010083.MP4	  26340	00:25:01.50	PERC_4Sep19_bruv1_data	00:13:01.50	708	789	PERC_04Sep19_bruv1	Jessica Madden			>1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
