Dot Point Measurements

Generated: Tuesday, June 16, 2020 16:10:54

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
REFU_10Oct19_bruv1_GOPR0115.MP4	  43394	00:12:03.96	REFU_10Oct19_bruv1_data	00:00:03.95	376	334	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae			3	1	AD	Passing	id?	background	
REFU_10Oct19_bruv1_GOPR0115.MP4	  43394	00:12:03.96	REFU_10Oct19_bruv1_data	00:00:03.95	633	1775	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae			3	1	AD	Passing	id?	background	
REFU_10Oct19_bruv1_GOPR0115.MP4	  44488	00:12:22.21	REFU_10Oct19_bruv1_data	00:00:22.21	201	645	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing	positive id		
REFU_10Oct19_bruv1_GOPR0115.MP4	  61973	00:17:13.92	REFU_10Oct19_bruv1_data	00:05:13.91	891	1622	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	   1763	00:18:11.47	REFU_10Oct19_bruv1_data	00:06:11.47	658	1703	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	   5457	00:19:13.10	REFU_10Oct19_bruv1_data	00:07:13.10	714	928	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  15725	00:22:04.41	REFU_10Oct19_bruv1_data	00:10:04.40	300	110	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  15725	00:22:04.41	REFU_10Oct19_bruv1_data	00:10:04.40	242	1552	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  15725	00:22:04.41	REFU_10Oct19_bruv1_data	00:10:04.40	414	1402	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  16482	00:22:17.04	REFU_10Oct19_bruv1_data	00:10:17.03	697	1039	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Cancridae	Cancer	sp		1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  27767	00:25:25.31	REFU_10Oct19_bruv1_data	00:13:25.30	779	428	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  29132	00:25:48.08	REFU_10Oct19_bruv1_data	00:13:48.08	970	621	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  35527	00:27:34.77	REFU_10Oct19_bruv1_data	00:15:34.77	845	744	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  39003	00:28:32.76	REFU_10Oct19_bruv1_data	00:16:32.76	301	503	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  40851	00:29:03.59	REFU_10Oct19_bruv1_data	00:17:03.59	355	1010	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	5	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  41283	00:29:10.80	REFU_10Oct19_bruv1_data	00:17:10.80	811	714	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  54335	00:32:48.55	REFU_10Oct19_bruv1_data	00:20:48.55	490	884	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  54749	00:32:55.46	REFU_10Oct19_bruv1_data	00:20:55.45	159	125	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  54749	00:32:55.46	REFU_10Oct19_bruv1_data	00:20:55.45	479	1262	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
REFU_10Oct19_bruv1_GP010115.MP4	  55475	00:33:07.57	REFU_10Oct19_bruv1_data	00:21:07.57	772	549	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
REFU_10Oct19_bruv1_GP020115.MP4	   5816	00:37:01.15	REFU_10Oct19_bruv1_data	00:25:01.15	977	814	REFU_10Oct19_bruv1	Jessica Madden			=1m	100% S							Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
