Dot Point Measurements

Generated: Wednesday, July 01, 2020 13:48:03

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat	Site	Bruv #	Date				Family	Genus	Species	Code	Number	Stage	Activity	Comment		
REFU_10Oct19_bruv6_GOPR0058.MP4	  43273	00:12:01.94	REFU_10Oct19_bruv6_data	00:00:01.94	813	1871	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Platyrhinidae	Platyrhinoidis	triserata	39	1	AD	Passing			
REFU_10Oct19_bruv6_GOPR0058.MP4	  43496	00:12:05.66	REFU_10Oct19_bruv6_data	00:00:05.66	45	711	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		1	AD	Passing	id? prob topsmelt		
REFU_10Oct19_bruv6_GOPR0058.MP4	  43625	00:12:07.81	REFU_10Oct19_bruv6_data	00:00:07.81	780	1423	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing	id?		
REFU_10Oct19_bruv6_GOPR0058.MP4	  43625	00:12:07.81	REFU_10Oct19_bruv6_data	00:00:07.81	797	841	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing	id?		
REFU_10Oct19_bruv6_GOPR0058.MP4	  49249	00:13:41.64	REFU_10Oct19_bruv6_data	00:01:41.63	801	1151	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	3	AD	Passing	id?		
REFU_10Oct19_bruv6_GOPR0058.MP4	  61434	00:17:04.92	REFU_10Oct19_bruv6_data	00:05:04.92	800	1365	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Platyrhinidae	Platyrhinoidis	triserata	39	1	AD	Passing			
REFU_10Oct19_bruv6_GOPR0058.MP4	  62717	00:17:26.33	REFU_10Oct19_bruv6_data	00:05:26.33	73	1452	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		1	AD	Passing	id? prob topsmelt	background	
REFU_10Oct19_bruv6_GP010058.MP4	    556	00:17:51.34	REFU_10Oct19_bruv6_data	00:05:51.33	1034	1505	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	3	AD	Passing	id?		
REFU_10Oct19_bruv6_GP010058.MP4	    556	00:17:51.34	REFU_10Oct19_bruv6_data	00:05:51.33	797	1097	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	3	AD	Passing	id?		
REFU_10Oct19_bruv6_GP010058.MP4	  17140	00:22:28.01	REFU_10Oct19_bruv6_data	00:10:28.01	835	1658	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Platyrhinidae	Platyrhinoidis	triserata	39	1	AD	Passing			
REFU_10Oct19_bruv6_GP010058.MP4	  19617	00:23:09.34	REFU_10Oct19_bruv6_data	00:11:09.34	762	1133	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	3	AD	Passing	id?		
REFU_10Oct19_bruv6_GP010058.MP4	  19617	00:23:09.34	REFU_10Oct19_bruv6_data	00:11:09.34	749	479	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	3	AD	Passing	id?		
REFU_10Oct19_bruv6_GP010058.MP4	  19721	00:23:11.07	REFU_10Oct19_bruv6_data	00:11:11.07	315	559	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		1	AD	Passing	id? prob topsmelt	background	
REFU_10Oct19_bruv6_GP010058.MP4	  20537	00:23:24.69	REFU_10Oct19_bruv6_data	00:11:24.68	173	1283	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		3	AD	Passing	id? prob topsmelt	background	
REFU_10Oct19_bruv6_GP010058.MP4	  34782	00:27:22.34	REFU_10Oct19_bruv6_data	00:15:22.34	88	344	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		1	AD	Passing	id? prob topsmelt		
REFU_10Oct19_bruv6_GP010058.MP4	  34782	00:27:22.34	REFU_10Oct19_bruv6_data	00:15:22.34	236	959	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Atherinopsidae	Atherinops	sp		1	AD	Passing	id? prob topsmelt		
REFU_10Oct19_bruv6_GP010058.MP4	  35458	00:27:33.62	REFU_10Oct19_bruv6_data	00:15:33.62	934	1766	REFU_10Oct19_bruv6	Jessica Madden			=1m	100% S	REFU	6	10-10-2019				Paralichthyidae	Citharichthys	stigmaeus	20	1	AD	Passing			
