Dot Point Measurements

Generated: Thursday, February 27, 2020 17:55:29

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
RESB_22Jul19_1_GOPR0063.MP4	  50208	00:13:57.64	REFU_22Jul19_bruv1_data	00:01:57.63	1012	1631	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   2870	00:18:29.94	REFU_22Jul19_bruv1_data	00:06:29.94	845	774	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   2870	00:18:29.94	REFU_22Jul19_bruv1_data	00:06:29.94	970	1186	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   2870	00:18:29.94	REFU_22Jul19_bruv1_data	00:06:29.94	955	1358	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   6111	00:19:24.01	REFU_22Jul19_bruv1_data	00:07:24.01	711	152	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   6111	00:19:24.01	REFU_22Jul19_bruv1_data	00:07:24.01	852	153	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   6111	00:19:24.01	REFU_22Jul19_bruv1_data	00:07:24.01	852	845	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   6111	00:19:24.01	REFU_22Jul19_bruv1_data	00:07:24.01	914	1189	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	   6111	00:19:24.01	REFU_22Jul19_bruv1_data	00:07:24.01	1037	1182	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Olividae	Callianax	biplicata	42	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	  21844	00:23:46.49	REFU_22Jul19_bruv1_data	00:11:46.49	294	119	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
RESB_22Jul19_1_GP010063.MP4	  21844	00:23:46.49	REFU_22Jul19_bruv1_data	00:11:46.49	544	1496	REFU_22Jul19_bruv1	Jessica Madden			>1m	100% S							Atherinopsidae	Atherinops	affinis	1	1	AD	Passing			
