Dot Point Measurements

Generated: Friday 04 December 2020 16:27:20

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
RESB_5Sep19_1_GOPR0085.MP4	  60629	00:16:51.49	REFU_5Sep19_bruv1	00:05:51.48	513	1548	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
RESB_5Sep19_1_GOPR0085.MP4	  61294	00:17:02.59	REFU_5Sep19_bruv1	00:06:02.58	537	1502	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	   5640	00:19:16.15	REFU_5Sep19_bruv1	00:08:16.15	236	1294	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae			3	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  10829	00:20:42.72	REFU_5Sep19_bruv1	00:09:42.72	362	514	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Hyperprosopon	argenteum	11	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  12482	00:21:10.30	REFU_5Sep19_bruv1	00:10:10.29	252	1407	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Hyperprosopon	argenteum	11	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  12482	00:21:10.30	REFU_5Sep19_bruv1	00:10:10.29	502	1762	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  12482	00:21:10.30	REFU_5Sep19_bruv1	00:10:10.29	426	1833	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  13039	00:21:19.59	REFU_5Sep19_bruv1	00:10:19.59	502	506	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae			3	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  30527	00:26:11.35	REFU_5Sep19_bruv1	00:15:11.34	198	1742	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Hyperprosopon	argenteum	11	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  30704	00:26:14.31	REFU_5Sep19_bruv1	00:15:14.30	572	588	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  30784	00:26:15.64	REFU_5Sep19_bruv1	00:15:15.63	353	548	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Atherinopsidae			3	1	AD	Passing			
RESB_5Sep19_1_GP010085.MP4	  31558	00:26:28.55	REFU_5Sep19_bruv1	00:15:28.54	658	50	REFU_05Sep19_bruv1	Jessica Madden			=1m	100% S							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
