Dot Point Measurements

Generated: Friday 04 December 2020 16:30:37

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SAEL_28Aug19_bruv5_GOPR0036.MP4	  56119	00:15:36.25	SAEL_28Aug19_bruv5_data	00:04:36.24	48	476	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Atherinopsidae			3	1	AD	Passing	id? unknown silver fish		
SAEL_28Aug19_bruv5_GOPR0036.MP4	  56119	00:15:36.25	SAEL_28Aug19_bruv5_data	00:04:36.24	131	1119	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Atherinopsidae			3	1	AD	Passing	id? unknown silver fish		
SAEL_28Aug19_bruv5_GOPR0036.MP4	  56119	00:15:36.25	SAEL_28Aug19_bruv5_data	00:04:36.24	188	1200	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Atherinopsidae			3	1	AD	Passing	id? unknown silver fish		
SAEL_28Aug19_bruv5_GOPR0036.MP4	  56119	00:15:36.25	SAEL_28Aug19_bruv5_data	00:04:36.24	187	1275	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Atherinopsidae			3	1	AD	Passing	id? unknown silver fish		
SAEL_28Aug19_bruv5_GOPR0036.MP4	  56386	00:15:40.71	SAEL_28Aug19_bruv5_data	00:04:40.70	227	303	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SAEL_28Aug19_bruv5_GP010036.MP4	   1608	00:18:08.89	SAEL_28Aug19_bruv5_data	00:07:08.88	714	1438	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SAEL_28Aug19_bruv5_GP010036.MP4	   6702	00:19:33.87	SAEL_28Aug19_bruv5_data	00:08:33.86	85	682	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Atherinopsidae			3	14	AD	Passing	id? unknown silver fish- anchovy?		
SAEL_28Aug19_bruv5_GP010036.MP4	  16392	00:22:15.53	SAEL_28Aug19_bruv5_data	00:11:15.52	977	866	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SAEL_28Aug19_bruv5_GP010036.MP4	  29940	00:26:01.56	SAEL_28Aug19_bruv5_data	00:15:01.55	929	910	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SAEL_28Aug19_bruv5_GP010036.MP4	  42837	00:29:36.72	SAEL_28Aug19_bruv5_data	00:18:36.72	724	997	SAEL_28Aug19_bruv5	Jessica Madden			>1m	100% benthic algae							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
