Dot Point Measurements

Generated: Tuesday, June 23, 2020 14:42:19

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat	Site	Bruv #	Date				Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SCRI_25Oct19_1_GOPR0131.MP4	  39627	00:11:01.11	SCRI_25Oct19_bruv1_data	00:00:01.10	645	1121	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Dasyatidae	Dasyatis	dipterura	63	1	AD	Passing			
SCRI_25Oct19_1_GOPR0131.MP4	  46971	00:13:03.63	SCRI_25Oct19_bruv1_data	00:02:03.62	638	1709	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GOPR0131.MP4	  46971	00:13:03.63	SCRI_25Oct19_bruv1_data	00:02:03.62	654	1196	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Dasyatidae	Dasyatis	dipterura	63	1	AD	Passing			
SCRI_25Oct19_1_GOPR0131.MP4	  59343	00:16:30.04	SCRI_25Oct19_bruv1_data	00:05:30.03	552	1448	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Dasyatidae	Dasyatis	dipterura	63	1	AD	Passing			
SCRI_25Oct19_1_GOPR0131.MP4	  60923	00:16:56.40	SCRI_25Oct19_bruv1_data	00:05:56.39	500	1357	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	   4849	00:19:02.96	SCRI_25Oct19_bruv1_data	00:08:02.95	677	256	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	   4849	00:19:02.96	SCRI_25Oct19_bruv1_data	00:08:02.95	659	1409	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	   4849	00:19:02.96	SCRI_25Oct19_bruv1_data	00:08:02.95	571	1530	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  10272	00:20:33.43	SCRI_25Oct19_bruv1_data	00:09:33.42	134	301	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Atherinopsidae			3	1	AD	Passing	id? prob topsmelt	background	
SCRI_25Oct19_1_GP010131.MP4	  11220	00:20:49.25	SCRI_25Oct19_bruv1_data	00:09:49.24	375	790	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Atherinopsidae			3	10	AD	Passing	id? prob topsmelt	background	
SCRI_25Oct19_1_GP010131.MP4	  12697	00:21:13.89	SCRI_25Oct19_bruv1_data	00:10:13.88	659	1163	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  12742	00:21:14.64	SCRI_25Oct19_bruv1_data	00:10:14.63	316	131	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Atherinopsidae			3	13	AD	Passing	id? prob topsmelt	background	
SCRI_25Oct19_1_GP010131.MP4	  13144	00:21:21.35	SCRI_25Oct19_bruv1_data	00:10:21.34	690	401	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  13144	00:21:21.35	SCRI_25Oct19_bruv1_data	00:10:21.34	672	1155	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  16715	00:22:20.92	SCRI_25Oct19_bruv1_data	00:11:20.91	668	1643	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Triakidae	Mustelus	sp		1	AD	Passing	id? gray?	background	
SCRI_25Oct19_1_GP010131.MP4	  16715	00:22:20.92	SCRI_25Oct19_bruv1_data	00:11:20.91	643	1260	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  21267	00:23:36.87	SCRI_25Oct19_bruv1_data	00:12:36.86	437	139	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Atherinopsidae			3	3	AD	Passing	id? prob topsmelt	background	
SCRI_25Oct19_1_GP010131.MP4	  27591	00:25:22.37	SCRI_25Oct19_bruv1_data	00:14:22.36	613	158	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  27591	00:25:22.37	SCRI_25Oct19_bruv1_data	00:14:22.36	771	152	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  31618	00:26:29.55	SCRI_25Oct19_bruv1_data	00:15:29.55	670	669	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Oct19_1_GP010131.MP4	  39695	00:28:44.31	SCRI_25Oct19_bruv1_data	00:17:44.30	82	1090	SCRI_25Oct19_bruv1	Jessica Madden			=1m	100% S	SCRI	1	10-25-2019				Atherinopsidae			3	15	AD	Passing	id? prob topsmelt	background	
