Dot Point Measurements

Generated: Friday 04 December 2020 16:17:47

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SCRI_25Sep19_1_GOPR0102.MP4	  43440	00:12:04.72	SCRI_25Sep19_bruv1_data	00:00:04.72	780	605	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  45226	00:12:34.52	SCRI_25Sep19_bruv1_data	00:00:34.52	820	645	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  45226	00:12:34.52	SCRI_25Sep19_bruv1_data	00:00:34.52	616	518	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  46060	00:12:48.43	SCRI_25Sep19_bruv1_data	00:00:48.43	822	731	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  46060	00:12:48.43	SCRI_25Sep19_bruv1_data	00:00:48.43	804	1051	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  46915	00:13:02.70	SCRI_25Sep19_bruv1_data	00:01:02.70	846	1113	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  46915	00:13:02.70	SCRI_25Sep19_bruv1_data	00:01:02.70	787	1540	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  50977	00:14:10.47	SCRI_25Sep19_bruv1_data	00:02:10.46	677	1170	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  51197	00:14:14.14	SCRI_25Sep19_bruv1_data	00:02:14.13	878	774	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_25Sep19_1_GOPR0102.MP4	  51197	00:14:14.14	SCRI_25Sep19_bruv1_data	00:02:14.13	845	1656	SCRI_25Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Menticirrhus	undulatus	24	1	AD	Passing			
