Dot Point Measurements

Generated: Tuesday, March 31, 2020 10:15:02

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SCRI_29Aug19_3_GOPR0023.MP4	  46796	00:13:00.71	SCRI_29Aug19_bruv3_data	00:00:00.70	802	836	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  47187	00:13:07.24	SCRI_29Aug19_bruv3_data	00:00:07.22	788	173	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  47187	00:13:07.24	SCRI_29Aug19_bruv3_data	00:00:07.22	770	1071	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48008	00:13:20.93	SCRI_29Aug19_bruv3_data	00:00:20.92	870	1551	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48008	00:13:20.93	SCRI_29Aug19_bruv3_data	00:00:20.92	844	1174	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48008	00:13:20.93	SCRI_29Aug19_bruv3_data	00:00:20.92	76	943	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48161	00:13:23.49	SCRI_29Aug19_bruv3_data	00:00:23.47	875	1258	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48161	00:13:23.49	SCRI_29Aug19_bruv3_data	00:00:23.47	831	1112	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GOPR0023.MP4	  48161	00:13:23.49	SCRI_29Aug19_bruv3_data	00:00:23.47	735	907	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	   4001	00:18:48.81	SCRI_29Aug19_bruv3_data	00:05:48.80	782	229	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	   7860	00:19:53.19	SCRI_29Aug19_bruv3_data	00:06:53.18	775	176	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Paralichthyidae				1	AD	Passing	ID? halibut?		
SCRI_29Aug19_3_GP010023.MP4	  13646	00:21:29.72	SCRI_29Aug19_bruv3_data	00:08:29.71	824	1186	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  13646	00:21:29.72	SCRI_29Aug19_bruv3_data	00:08:29.71	891	1656	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  15111	00:21:54.16	SCRI_29Aug19_bruv3_data	00:08:54.15	791	802	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	3	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  23926	00:24:21.23	SCRI_29Aug19_bruv3_data	00:11:21.21	743	567	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  24975	00:24:38.73	SCRI_29Aug19_bruv3_data	00:11:38.71	747	1055	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  25096	00:24:40.75	SCRI_29Aug19_bruv3_data	00:11:40.73	746	1091	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  25096	00:24:40.75	SCRI_29Aug19_bruv3_data	00:11:40.73	1003	1581	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SCRI_29Aug19_3_GP010023.MP4	  37934	00:28:14.93	SCRI_29Aug19_bruv3_data	00:15:14.91	699	102	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S											1	AD	Passing	ID? corbina?		
SCRI_29Aug19_3_GP010023.MP4	  38080	00:28:17.36	SCRI_29Aug19_bruv3_data	00:15:17.35	549	403	SCRI_29Aug19_bruv3	Jessica Madden			>1m	100% S							Sciaenidae	Umbrina	roncador	26	2	AD	Passing			
