Dot Point Measurements

Generated: Wednesday, March 25, 2020 16:04:41

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SLHO_22Aug19_bruv3_GOPR0019.MP4	  40146	00:11:09.77	SLHO_22Aug19_bruv3_data	00:00:09.76	587	815	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  43775	00:12:10.31	SLHO_22Aug19_bruv3_data	00:01:10.30	621	821	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  47320	00:13:09.46	SLHO_22Aug19_bruv3_data	00:02:09.45	162	1438	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  47320	00:13:09.46	SLHO_22Aug19_bruv3_data	00:02:09.45	457	119	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  51430	00:14:18.02	SLHO_22Aug19_bruv3_data	00:03:18.01	794	753	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  54985	00:15:17.33	SLHO_22Aug19_bruv3_data	00:04:17.32	213	47	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  54985	00:15:17.33	SLHO_22Aug19_bruv3_data	00:04:17.32	135	1299	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  54985	00:15:17.33	SLHO_22Aug19_bruv3_data	00:04:17.32	467	1672	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  54985	00:15:17.33	SLHO_22Aug19_bruv3_data	00:04:17.32	773	1634	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  58442	00:16:15.01	SLHO_22Aug19_bruv3_data	00:05:15.00	264	1129	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  58838	00:16:21.61	SLHO_22Aug19_bruv3_data	00:05:21.60	820	347	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  62340	00:17:20.04	SLHO_22Aug19_bruv3_data	00:06:20.03	575	650	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  62749	00:17:26.86	SLHO_22Aug19_bruv3_data	00:06:26.85	562	914	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  62749	00:17:26.86	SLHO_22Aug19_bruv3_data	00:06:26.85	588	1151	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GOPR0019.MP4	  62749	00:17:26.86	SLHO_22Aug19_bruv3_data	00:06:26.85	708	1261	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	   2675	00:18:35.70	SLHO_22Aug19_bruv3_data	00:07:35.69	801	1250	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	   2675	00:18:35.70	SLHO_22Aug19_bruv3_data	00:07:35.69	432	562	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S											1	AD	Passing	ID?		
SLHO_22Aug19_bruv3_GP010019.MP4	  13300	00:21:32.96	SLHO_22Aug19_bruv3_data	00:10:32.95	290	1213	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  13423	00:21:35.01	SLHO_22Aug19_bruv3_data	00:10:35.00	454	910	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	2	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  16444	00:22:25.41	SLHO_22Aug19_bruv3_data	00:11:25.40	602	737	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  16444	00:22:25.41	SLHO_22Aug19_bruv3_data	00:11:25.40	809	558	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  18521	00:23:00.06	SLHO_22Aug19_bruv3_data	00:12:00.05	725	1186	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  30239	00:26:15.56	SLHO_22Aug19_bruv3_data	00:15:15.55	233	822	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Sciaenidae	Umbrina	roncador	26	1	AD	Passing			
SLHO_22Aug19_bruv3_GP010019.MP4	  30239	00:26:15.56	SLHO_22Aug19_bruv3_data	00:15:15.55	137	85	SLHO_22Aug19_bruv3	Jessica Madden			>1m	100% S							Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
