Dot Point Measurements

Generated: Monday, March 02, 2020 13:19:06

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SOCA_25Jul19_1_GOPR0069.MP4	  43125	00:12:44.76	SOCA_25Jul19_bruv1_data	00:00:44.76	524	164	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  46136	00:13:35.00	SOCA_25Jul19_bruv1_data	00:01:34.99	592	225	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  46136	00:13:35.00	SOCA_25Jul19_bruv1_data	00:01:34.99	255	1590	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  46144	00:13:35.13	SOCA_25Jul19_bruv1_data	00:01:35.13	577	164	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  46144	00:13:35.13	SOCA_25Jul19_bruv1_data	00:01:35.13	519	982	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  46144	00:13:35.13	SOCA_25Jul19_bruv1_data	00:01:35.13	369	1276	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  54491	00:15:54.39	SOCA_25Jul19_bruv1_data	00:03:54.38	620	1744	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Palinuridae	Panulirus	interruptus	48	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  58778	00:17:05.91	SOCA_25Jul19_bruv1_data	00:05:05.91	421	1080	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GOPR0069.MP4	  58778	00:17:05.91	SOCA_25Jul19_bruv1_data	00:05:05.91	376	1432	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_25Jul19_1_GP010069.MP4	    558	00:18:36.67	SOCA_25Jul19_bruv1_data	00:06:36.66	814	424	SOCA_25Jul19_bruv1	Jessica Madden			<1m	Bedrock, understory algae (reds, ulva)							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
