Dot Point Measurements

Generated: Wednesday 02 December 2020 11:41:06

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SOCA_9Sep19_1_GOPR0088.MP4	  43157	00:12:00.00	SOCA_9Sep19_bruv1_data	00:00:00.00	536	734	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  43253	00:12:01.60	SOCA_9Sep19_bruv1_data	00:00:01.60	245	538	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	2	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  44758	00:12:26.71	SOCA_9Sep19_bruv1_data	00:00:26.71	289	73	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  44758	00:12:26.71	SOCA_9Sep19_bruv1_data	00:00:26.71	552	660	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  44758	00:12:26.71	SOCA_9Sep19_bruv1_data	00:00:26.71	688	1678	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  44758	00:12:26.71	SOCA_9Sep19_bruv1_data	00:00:26.71	636	711	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  44881	00:12:28.76	SOCA_9Sep19_bruv1_data	00:00:28.76	658	1038	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	7	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  47839	00:13:18.11	SOCA_9Sep19_bruv1_data	00:01:18.11	592	732	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_1_GOPR0088.MP4	  47839	00:13:18.11	SOCA_9Sep19_bruv1_data	00:01:18.11	171	1627	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock											1	AD	Passing	id?		
SOCA_9Sep19_1_GOPR0088.MP4	  54389	00:15:07.39	SOCA_9Sep19_bruv1_data	00:03:07.39	674	1137	SOCA_09Sep19_bruv1	Jessica Madden			<1m	100% benthic algae on rock							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
