Dot Point Measurements

Generated: Friday 04 December 2020 15:19:27

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
SOCA_9Sep19_6_GOPR0036.MP4	  47357	00:13:10.07	SOCA_9Sep19_bruv6_data	00:00:10.06	607	1077	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  47535	00:13:13.04	SOCA_9Sep19_bruv6_data	00:00:13.03	406	727	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	3	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  49131	00:13:39.67	SOCA_9Sep19_bruv6_data	00:00:39.66	504	991	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	4	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  49646	00:13:48.26	SOCA_9Sep19_bruv6_data	00:00:48.25	408	760	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing	id?		
SOCA_9Sep19_6_GOPR0036.MP4	  55575	00:15:27.18	SOCA_9Sep19_bruv6_data	00:02:27.16	266	673	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Micrometrus	minimus	13	1	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  56748	00:15:46.75	SOCA_9Sep19_bruv6_data	00:02:46.73	723	1071	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  59651	00:16:35.18	SOCA_9Sep19_bruv6_data	00:03:35.16	427	345	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GOPR0036.MP4	  59651	00:16:35.18	SOCA_9Sep19_bruv6_data	00:03:35.16	593	654	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	    134	00:17:44.30	SOCA_9Sep19_bruv6_data	00:04:44.28	701	811	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	    134	00:17:44.30	SOCA_9Sep19_bruv6_data	00:04:44.28	817	622	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	    134	00:17:44.30	SOCA_9Sep19_bruv6_data	00:04:44.28	429	1327	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   1185	00:18:01.83	SOCA_9Sep19_bruv6_data	00:05:01.82	518	870	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   1767	00:18:11.54	SOCA_9Sep19_bruv6_data	00:05:11.53	158	630	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   1767	00:18:11.54	SOCA_9Sep19_bruv6_data	00:05:11.53	828	877	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   2232	00:18:19.30	SOCA_9Sep19_bruv6_data	00:05:19.29	590	1202	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	4	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   2672	00:18:26.64	SOCA_9Sep19_bruv6_data	00:05:26.63	294	694	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	2	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   6302	00:19:27.20	SOCA_9Sep19_bruv6_data	00:06:27.19	598	153	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	   6302	00:19:27.20	SOCA_9Sep19_bruv6_data	00:06:27.19	267	1526	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  13057	00:21:19.90	SOCA_9Sep19_bruv6_data	00:08:19.88	847	881	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  19972	00:23:15.26	SOCA_9Sep19_bruv6_data	00:10:15.25	639	390	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  19972	00:23:15.26	SOCA_9Sep19_bruv6_data	00:10:15.25	937	614	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  22926	00:24:04.54	SOCA_9Sep19_bruv6_data	00:11:04.53	572	1010	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  23409	00:24:12.60	SOCA_9Sep19_bruv6_data	00:11:12.59	492	892	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  23409	00:24:12.60	SOCA_9Sep19_bruv6_data	00:11:12.59	672	598	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  23501	00:24:14.14	SOCA_9Sep19_bruv6_data	00:11:14.12	451	396	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  23501	00:24:14.14	SOCA_9Sep19_bruv6_data	00:11:14.12	870	163	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  23501	00:24:14.14	SOCA_9Sep19_bruv6_data	00:11:14.12	329	1889	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  24514	00:24:31.04	SOCA_9Sep19_bruv6_data	00:11:31.02	839	432	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  27436	00:25:19.78	SOCA_9Sep19_bruv6_data	00:12:19.77	423	1136	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	2	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  27436	00:25:19.78	SOCA_9Sep19_bruv6_data	00:12:19.77	68	937	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Sciaenidae				2	AD	Passing	id?		
SOCA_9Sep19_6_GP010036.MP4	  27691	00:25:24.04	SOCA_9Sep19_bruv6_data	00:12:24.03	598	527	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  35594	00:27:35.89	SOCA_9Sep19_bruv6_data	00:14:35.88	636	856	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	3	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  37438	00:28:06.65	SOCA_9Sep19_bruv6_data	00:15:06.64	972	626	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Rhinobatidae	Rhinobatos	productus	36	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  38970	00:28:32.21	SOCA_9Sep19_bruv6_data	00:15:32.20	629	363	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Platyrhinidae	Platyrhinoidis	triserata	39 # Thornback guitarfish	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  44453	00:30:03.69	SOCA_9Sep19_bruv6_data	00:17:03.67	566	1089	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  45683	00:30:24.21	SOCA_9Sep19_bruv6_data	00:17:24.19	355	699	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  50959	00:31:52.23	SOCA_9Sep19_bruv6_data	00:18:52.21	478	1056	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Triakidae	Triakis	semifasciata	30	2	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  56594	00:33:26.24	SOCA_9Sep19_bruv6_data	00:20:26.22	674	1154	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Serranidae	Paralabrax	clathratus	44	1	AD	Passing	id?		
SOCA_9Sep19_6_GP010036.MP4	  60698	00:34:34.71	SOCA_9Sep19_bruv6_data	00:21:34.69	838	772	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
SOCA_9Sep19_6_GP010036.MP4	  62655	00:35:07.36	SOCA_9Sep19_bruv6_data	00:22:07.34	307	421	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Labridae	Halichoeres	semicinctus	19	1	AD	Passing	id?		
SOCA_9Sep19_6_GP010036.MP4	  62781	00:35:09.46	SOCA_9Sep19_bruv6_data	00:22:09.44	239	874	SOCA_09Sep19_bruv6	Jessica Madden			=1m	100% benthic algae SS							Embiotocidae	Amphistichus	argenteus	6	1	AD	Passing			
