Dot Point Measurements

Generated: Wednesday, April 29, 2020 18:44:59

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment	Visibility	Habitat							Family	Genus	Species	Code	Number	Stage	Activity	Comment		
STBE_19Sep19_1_GOPR0100.MP4	  50350	00:14:00.01	STBE_19Sep19_bruv1_data	00:00:00.00	410	1816	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GOPR0100.MP4	  50484	00:14:02.24	STBE_19Sep19_bruv1_data	00:00:02.24	485	753	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GOPR0100.MP4	  50484	00:14:02.24	STBE_19Sep19_bruv1_data	00:00:02.24	470	1875	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	   6851	00:19:36.36	STBE_19Sep19_bruv1_data	00:05:36.35	611	447	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  14915	00:21:50.89	STBE_19Sep19_bruv1_data	00:07:50.89	724	756	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  23145	00:24:08.20	STBE_19Sep19_bruv1_data	00:10:08.19	647	78	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  24096	00:24:24.06	STBE_19Sep19_bruv1_data	00:10:24.06	560	259	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  24096	00:24:24.06	STBE_19Sep19_bruv1_data	00:10:24.06	393	1818	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  35663	00:27:37.04	STBE_19Sep19_bruv1_data	00:13:37.03	518	430	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  35663	00:27:37.04	STBE_19Sep19_bruv1_data	00:13:37.03	313	802	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  40779	00:29:02.39	STBE_19Sep19_bruv1_data	00:15:02.38	472	827	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Roncador	stearnsii	55	1	AD	Passing		background	
STBE_19Sep19_1_GP010100.MP4	  40779	00:29:02.39	STBE_19Sep19_bruv1_data	00:15:02.38	613	763	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Roncador	stearnsii	55	1	AD	Passing		background	
STBE_19Sep19_1_GP010100.MP4	  40779	00:29:02.39	STBE_19Sep19_bruv1_data	00:15:02.38	519	635	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Roncador	stearnsii	55	1	AD	Passing		background	
STBE_19Sep19_1_GP010100.MP4	  40779	00:29:02.39	STBE_19Sep19_bruv1_data	00:15:02.38	576	589	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Roncador	stearnsii	55	1	AD	Passing		background	
STBE_19Sep19_1_GP010100.MP4	  40779	00:29:02.39	STBE_19Sep19_bruv1_data	00:15:02.38	732	766	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Urotrygonidae	Urobatis	halleri	31 #round ray	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  43552	00:29:48.65	STBE_19Sep19_bruv1_data	00:15:48.65	639	612	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  44994	00:30:12.71	STBE_19Sep19_bruv1_data	00:16:12.71	639	495	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  44994	00:30:12.71	STBE_19Sep19_bruv1_data	00:16:12.71	436	851	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  44994	00:30:12.71	STBE_19Sep19_bruv1_data	00:16:12.71	515	1433	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  45081	00:30:14.16	STBE_19Sep19_bruv1_data	00:16:14.16	363	1889	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  45081	00:30:14.16	STBE_19Sep19_bruv1_data	00:16:14.16	464	1904	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  45081	00:30:14.16	STBE_19Sep19_bruv1_data	00:16:14.16	477	1072	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  45081	00:30:14.16	STBE_19Sep19_bruv1_data	00:16:14.16	414	901	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	505	1385	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	523	1280	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	552	1150	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	578	1065	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	545	1034	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  52064	00:32:10.66	STBE_19Sep19_bruv1_data	00:18:10.66	588	769	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Kyphosidae	Hermosilla	azurea	45	1	AD	Passing			
STBE_19Sep19_1_GP010100.MP4	  61436	00:34:47.02	STBE_19Sep19_bruv1_data	00:20:47.01	667	552	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Triakidae	Triakis	semifasciata	30	1	AD	Passing		background	
STBE_19Sep19_1_GP010100.MP4	  62715	00:35:08.36	STBE_19Sep19_bruv1_data	00:21:08.35	507	181	STBE_19Sep19_bruv1	Jessica Madden			>1m	100% S							Sciaenidae	Atractoscion	nobilis	23	1	AD	Passing			
