"","op_code","site_full","site_code","type","geog","date","day","month","year","bruv","period_time_hms","time","minute","second","visibility","habitat","subclass","family","scientific_name","genus","species","common","code","sp_code","number","comment_1","x_6","five_min","ten_min"
"1","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:00:00.00",0S,0,0,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",5,10
"2","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:00:00.00",0S,0,0,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"3","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:00:00.00",0S,0,0,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"4","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:00:00.00",0S,0,0,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"5","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:01:47.86",1M 47.86S,1,47.86,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","background",5,10
"6","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:01:47.86",1M 47.86S,1,47.86,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"7","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:01:47.86",1M 47.86S,1,47.86,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"8","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:01:47.86",1M 47.86S,1,47.86,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"9","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:03:33.95",3M 33.95S,3,33.95,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",5,10
"10","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:03:33.95",3M 33.95S,3,33.95,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",5,10
"11","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:05:10.23",5M 10.23S,5,10.23,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",10,10
"12","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:06:07.87",6M 7.87S,6,7.87,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
"13","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:06:07.87",6M 7.87S,6,7.87,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
