"","op_code","site_full","type","geog","date","bruv","time","subclass","family","common","number"
"1","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Serranidae","Barred sand bass",0
"2","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Barred surfperch",0
"3","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Myliobatidae","Bat ray",0
"4","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Sciaenidae","Black croaker",0
"5","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Black perch",0
"6","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Calico surfperch",0
"7","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Sciaenidae","California corbina",0
"8","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Paralichthyidae","California halibut",0
"9","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Muraenidae","California moray",0
"10","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Labridae","California sheephead",0
"11","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Invertebrate","Palinuridae","California spiny lobster ",0
"12","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Invertebrate","Cancridae","Crab",0
"13","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Dasyatidae","Diamond stingray",0
"14","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Dwarf perch",0
"15","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Triakidae","Grey smooth-hound",0
"16","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Kyphosidae","Halfmoon",0
"17","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Mammalia","Phocidae","Harbor seal",0
"18","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Heterodontidae","Horn shark",0
"19","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",24M 0.97S,"Actinopterygii","Serranidae","Kelp bass",1
"20","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",31M 34.26S,"Actinopterygii","Serranidae","Kelp bass",1
"21","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",34M 43.5S,"Actinopterygii","Serranidae","Kelp bass",1
"22","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",40M 55.47S,"Actinopterygii","Serranidae","Kelp bass",1
"23","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",3M 40.6S,"Elasmobranchii","Triakidae","Leopard shark",1
"24","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",5M 42.01S,"Elasmobranchii","Triakidae","Leopard shark",1
"25","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",15M 39.69S,"Elasmobranchii","Triakidae","Leopard shark",1
"26","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",19M 55.46S,"Elasmobranchii","Triakidae","Leopard shark",1
"27","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",21M 9.9S,"Elasmobranchii","Triakidae","Leopard shark",2
"28","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",25M 40.89S,"Elasmobranchii","Triakidae","Leopard shark",1
"29","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",30M 6.52S,"Elasmobranchii","Triakidae","Leopard shark",1
"30","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",35M 57.66S,"Elasmobranchii","Triakidae","Leopard shark",1
"31","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",40M 49.2S,"Elasmobranchii","Triakidae","Leopard shark",1
"32","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",45M 58.01S,"Elasmobranchii","Triakidae","Leopard shark",1
"33","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",47M 46.35S,"Elasmobranchii","Triakidae","Leopard shark",1
"34","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",50M 44.04S,"Elasmobranchii","Triakidae","Leopard shark",1
"35","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",55M 53.8S,"Elasmobranchii","Triakidae","Leopard shark",1
"36","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Invertebrate","Nassariidae","Nassa mud snail",0
"37","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Kyphosidae","Opaleye",0
"38","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Carangidae","Pacific jack mackerel",0
"39","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Paralichthyidae","Pacific sanddab",0
"40","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Pile perch",0
"41","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Invertebrate","Olividae","Purple olive shell",0
"42","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Sciaenidae","Queenfish",0
"43","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Rainbow surfperch",0
"44","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Labridae","Rock wrasse",0
"45","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Urotrygonidae","Round stingray",0
"46","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Rubberlip seaperch",0
"47","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Haemulidae","Sargo",0
"48","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Invertebrate","Epialtidae","Sheep crab",0
"49","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Actinopterygii","Embiotocidae","Shiner perch",0
"50","DUCO_16Sep19_bruv1_data","Dume Cove","MPA",7,2019-09-16,"1",NA,"Elasmobranchii","Rhinobatidae","Shovelnose guitarfish",0
