op_code,period_time_hms,subclass,family,scientific_name,genus,species,common,code,sp_code,number,comment_1,x_6,Resolved?
DUCO_16Sep19_bruv1_data,08:14.1,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,10,check id,background,?
DUCO_16Sep19_bruv1_data,33:07.1,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,5,silverfish- topsmelt or anchovy,background,?
DUCO_16Sep19_bruv1_data,37:37.8,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,4,silverfish- topsmelt or anchovy,background,?
DUCO_16Sep19_bruv1_data,37:49.5,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,7,silverfish- topsmelt or anchovy,background,?
DUCO_16Sep19_bruv1_data,43:03.5,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,9,silverfish- topsmelt or anchovy,background,?
DUCO_16Sep19_bruv1_data,48:58.4,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,9,silverfish- topsmelt or anchovy,background,?
DUCO_16Sep19_bruv3,27:29.3,Actinopterygii,Sciaenidae,Umbrina roncador,Umbrina,roncador,Yellowfin croaker,26,UMRO,1,id?,background,?
DUCO_16Sep19_bruv6,23:10.7,Actinopterygii,Embiotocidae,Hyperprosopon argenteum,Hyperprosopon,argenteum,Walleye surfperch,11,HYAR,5,id?,NA,?
DUCO_20Aug19_bruv1,01:55.3,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,02:57.7,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,02:57.7,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,02:58.1,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,02:58.1,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,02:58.1,Actinopterygii,Kyphosidae,Kyphosus azureus,Kyphosus,azureus,Zebra perch,18,KYAZ,1,id check?,NA,?
DUCO_20Aug19_bruv1,00:16.2,NA,, ,,,NA,NA,NA,1,unidentified fish,NA,?
DUCO_20Aug19_bruv1,00:49.4,NA,, ,,,NA,NA,NA,1,unknown fish- possible black perch,NA,?
DUCO_20Aug19_bruv1,12:56.2,NA,, ,,,NA,NA,NA,1,unidentified fish - zebra perch?,NA,?
DUCO_20Aug19_bruv1,27:18.4,NA,, ,,,NA,NA,NA,1,unidentified fish,NA,?
DUCO_20Aug19_bruv1,33:36.8,NA,, ,,,NA,NA,NA,1,unidentified fish- opaleye?,NA,?
DUCO_20Aug19_bruv1,35:23.8,NA,, ,,,NA,NA,NA,1,unidentified fish - opaleye?,NA,?
DUCO_20Aug19_bruv1,54:48.5,NA,, ,,,NA,NA,NA,1,unknown silverside,NA,?
DUCO_20Aug19_bruv3,40:42.2,NA,, ,,,NA,NA,NA,1,ID? poss. sheephead female,NA,?
DUCO_20Aug19_bruv3,46:25.1,NA,, ,,,NA,NA,NA,1,ID? poss. sheephead female,NA,?
DUCO_20Aug19_bruv3,58:25.3,NA,, ,,,NA,NA,NA,1,ID? poss. sheephead female,NA,?
DUCO_20Aug19_bruv3,59:01.0,NA,, ,,,NA,NA,NA,1,ID? poss black perch,NA,?
DUCO_20Aug19_bruv6,08:22.8,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
DUCO_20Aug19_bruv6,10:51.9,Actinopterygii,Atherinopsidae, ,,,Unknown Silverside,3,ATHE,1,id? background,NA,?
