"","site_full","type","geog","subclass","family_x","genus_x","species_x","sp_code","common"
"1","Percos","MPA",3,"Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt"
"2","Percos","MPA",3,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"3","Percos","MPA",3,"Actinopterygii","Paralichthyidae","Citharichthys","sordidus","CISO","Pacific sanddab"
"4","Percos","MPA",3,"Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab"
"5","Percos","MPA",3,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"6","Percos","MPA",3,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"7","Percos","MPA",3,"Actinopterygii","Paralichthyidae","Paralichthys","californicus","PACA","California halibut"
"8","Percos","MPA",3,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"9","Percos","MPA",3,"Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch"
"10","Percos","MPA",3,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"11","Percos","MPA",3,"Actinopterygii","Embiotocidae","Amphistichus","koelzi","AMKO","Calico surfperch"
"12","Percos","MPA",3,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"13","Refugio","Reference",4,"Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt"
"14","Refugio","Reference",4,"Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab"
"15","Refugio","Reference",4,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"16","Refugio","Reference",4,"Actinopterygii","Embiotocidae","Cymatogaster","aggregata","CAGG","Shiner perch"
"17","Refugio","Reference",4,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"18","Refugio","Reference",4,"Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch"
"19","Refugio","Reference",4,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"20","Refugio","Reference",4,"Actinopterygii","Embiotocidae","Hyperprosopon","ellipticum","HYEL","Silver surfperch"
"21","Refugio","Reference",4,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"22","Refugio","Reference",4,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"23","Refugio","Reference",4,"Actinopterygii","Paralichthyidae","Paralichthys","californicus","PACA","California halibut"
"24","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch"
"25","South Campus","MPA",5,"Elasmobranchii","Heterodontidae","Heterodontus","francisci","HEFR","Horn shark"
"26","South Campus","MPA",5,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"27","South Campus","MPA",5,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"28","South Campus","MPA",5,"Actinopterygii","Sciaenidae","Cheilotrema","saturnum","CHSA","Black croaker"
"29","South Campus","MPA",5,"Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass"
"30","South Campus","MPA",5,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"31","South Campus","MPA",5,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"32","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch"
"33","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Hypsurus","caryi","HYCA","Rainbow surfperch"
"34","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Micrometrus","minimus","MIMI","Dwarf perch"
"35","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Rhacochilus","toxotes","RHTO","Rubberlip seaperch"
"36","South Campus","MPA",5,"Actinopterygii","Haemulidae","Anisotremus","davidsonii","ANDA","Sargo"
"37","South Campus","MPA",5,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"38","South Campus","MPA",5,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"39","South Campus","MPA",5,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
